iter	Passed	Remaining
0	61	61342
1	68	33989
2	74	24698
3	80	20000
4	86	17247
5	92	15386
6	98	14005
7	108	13502
8	121	13423
9	137	13637
10	151	13624
11	167	13757
12	178	13538
13	184	13019
14	191	12546
15	197	12134
16	203	11741
17	209	11426
18	215	11135
19	221	10868
20	227	10615
21	233	10389
22	239	10175
23	245	9981
24	251	9801
25	257	9630
26	263	9495
27	269	9367
28	276	9247
29	282	9126
30	288	9004
31	294	8901
32	300	8792
33	306	8696
34	312	8606
35	318	8523
36	324	8447
37	330	8363
38	336	8292
39	343	8233
40	350	8189
41	357	8158
42	366	8145
43	378	8218
44	384	8151
45	390	8097
46	396	8030
47	401	7972
48	408	7926
49	414	7879
50	420	7828
51	426	7777
52	432	7731
53	438	7683
54	444	7638
55	450	7590
56	456	7548
57	462	7507
58	468	7469
59	474	7427
60	479	7388
61	486	7355
62	491	7317
63	497	7281
64	504	7252
65	510	7219
66	516	7190
67	522	7157
68	528	7127
69	534	7097
70	540	7067
71	546	7038
72	552	7010
73	558	6987
74	564	6964
75	570	6937
76	576	6911
77	582	6887
78	588	6865
79	595	6844
80	600	6818
81	607	6795
82	613	6779
83	619	6758
84	625	6737
85	634	6744
86	640	6722
87	646	6701
88	652	6679
89	658	6657
90	664	6637
91	670	6614
92	676	6594
93	682	6576
94	688	6557
95	694	6538
96	700	6517
97	706	6498
98	711	6477
99	717	6459
100	723	6442
101	730	6427
102	736	6410
103	741	6390
104	748	6378
105	754	6363
106	760	6345
107	767	6336
108	772	6317
109	779	6303
110	784	6286
111	790	6271
112	796	6253
113	802	6239
114	808	6223
115	814	6209
116	820	6193
117	826	6178
118	832	6164
119	840	6164
120	847	6153
121	853	6141
122	859	6125
123	865	6111
124	871	6097
125	876	6082
126	882	6067
127	888	6052
128	894	6039
129	900	6028
130	906	6015
131	913	6004
132	919	5991
133	924	5977
134	932	5977
135	939	5970
136	945	5956
137	951	5943
138	957	5932
139	963	5920
140	970	5909
141	976	5897
142	981	5884
143	987	5872
144	993	5860
145	999	5849
146	1005	5837
147	1012	5829
148	1018	5818
149	1024	5807
150	1031	5798
151	1037	5787
152	1043	5776
153	1049	5764
154	1055	5754
155	1061	5741
156	1067	5730
157	1073	5718
158	1078	5705
159	1084	5694
160	1090	5684
161	1101	5696
162	1107	5686
163	1113	5678
164	1119	5666
165	1125	5655
166	1132	5646
167	1137	5634
168	1143	5624
169	1149	5613
170	1155	5603
171	1161	5592
172	1168	5583
173	1174	5573
174	1179	5562
175	1185	5550
176	1191	5540
177	1197	5530
178	1203	5521
179	1209	5511
180	1216	5502
181	1222	5492
182	1227	5482
183	1233	5471
184	1239	5460
185	1245	5452
186	1252	5443
187	1257	5432
188	1263	5422
189	1270	5414
190	1275	5404
191	1281	5393
192	1287	5384
193	1293	5373
194	1299	5364
195	1305	5354
196	1311	5346
197	1317	5337
198	1323	5327
199	1329	5318
200	1335	5309
201	1341	5300
202	1347	5291
203	1353	5280
204	1359	5271
205	1365	5263
206	1371	5254
207	1377	5245
208	1383	5236
209	1389	5227
210	1395	5217
211	1401	5209
212	1409	5207
213	1415	5200
214	1422	5192
215	1429	5187
216	1435	5178
217	1441	5170
218	1447	5162
219	1453	5152
220	1459	5144
221	1467	5142
222	1475	5139
223	1484	5144
224	1494	5149
